"year","access_share","access_or_eventual_share","participate_share"
2021,56.612256287056,66.1387620869356,46.4358325915127
2022,55.439654414723,66.4968569303777,45.3829967320377
2023,57.0832631769683,67.9088636530142,47.6643596867375
2024,56.6471147918295,66.8414818708781,47.22872614473
