"year","access_full_share","access_part_share","participate_full_share","participate_part_share"
2021,57.7424386460282,23.0381074162475,55.1060730846312,21.2419584300123
2022,56.0672907647387,20.7925905279279,53.7224935011488,19.0552463443837
2023,58.5819957387184,20.4075036193705,56.5333168506605,19.0052030271341
2024,57.9638037854113,21.0427461121882,55.9323748160502,19.594461378331
